id,title,file,found,direct,sourceCourseName
"rural-emergency-trauma-update","Rural Emergency Trauma Update","events.ts",true,"https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4076","Addressing Substance Use in Rural Alaska"
"behavioral-health-integration-summit","Behavioral Health Integration Summit","events.ts",true,"https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1322","Alaska Commission for Behavioral Health Certification - Curated Resource List"
"telehealth-best-practices-2026","Telehealth Best Practices for Rural Alaska","events.ts",true,"https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3571","Implementing MOUD: Pain Management, Opioid Use, and Addiction in Alaska"
"community-health-aide-advanced-training","Community Health Aide Advanced Training","events.ts",true,"https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1322","Alaska Commission for Behavioral Health Certification - Curated Resource List"
"pharmacy-ce-medication-safety","Medication Safety in Remote Pharmacies","events.ts",true,"https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4538","ACFTA Live Sessions 2026 - August (dates TBD) (Remote via Zoom)"
"public-health-emergency-preparedness","Public Health Emergency Preparedness Workshop","events.ts",true,"https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3717","AHHA - OB Care in the Emergency Department: How the ED Nurse Can “Deliver”"
"dental-health-village-clinics","Dental Health Strategies for Village Clinics","events.ts",true,"https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=1322","Alaska Commission for Behavioral Health Certification - Curated Resource List"
"opioid-response-training","Alaska Opioid Response & Harm Reduction","events.ts",true,"https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3571","Implementing MOUD: Pain Management, Opioid Use, and Addiction in Alaska"
"rural-wound-care-on-demand","Rural Wound Care Fundamentals","events.ts",true,"https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=4076","Addressing Substance Use in Rural Alaska"
"cultural-humility-alaska-on-demand","Cultural Humility in Alaska Healthcare","events.ts",true,"https://continuingstudies.alaska.edu/Registration.aspx?AffiliateID=6Q68Q3&FilterSectionIndex=3571","Implementing MOUD: Pain Management, Opioid Use, and Addiction in Alaska"